,Video Name,Thumbnail URL,Video ID,length,date published
298,Antalyaspor vs Trabzonspor | SÜPER LIG HIGHLIGHTS | 08/20/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/pnJLIE6k-2I/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBpILxN_hsPM6avAPHrf2q18UrJJA,pnJLIE6k-2I,"12 minutes, 8 seconds",3 months ago
299,Marseille vs Nantes | LIGUE 1 HIGHLIGHTS | 08/20/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/jF0Ic0sq3IY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDjak7AehAU-W8mxijsywr1UJl0EQ,jF0Ic0sq3IY,"10 minutes, 27 seconds",3 months ago
300,Monaco vs Lens | LIGUE 1 HIGHLIGHTS | 08/20/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/SlxTNBn2xrQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCVMz1XrSdP2r-gFBBFeLOxcSjeog,SlxTNBn2xrQ,"10 minutes, 38 seconds",3 months ago
301,Saint Etienne vs Le Havre | LIGUE 2 HIGHLIGHTS | 08/20/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/AJpyhDwUZ3w/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAOHBWPc5amnsAyVeKkX_0QqVMZjg,AJpyhDwUZ3w,"12 minutes, 19 seconds",3 months ago
302,Lyon vs Troyes | LIGUE 1 HIGHLIGHTS | 08/19/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/sWflXYHrLIA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAENLBeF-wiz5k4coey0UMRswdZTw,sWflXYHrLIA,"12 minutes, 10 seconds",3 months ago
303,Umraniyespor vs Galatasaray | SÜPER LIG HIGHLIGHTS | 08/19/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/8Z6bP2qkcQQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAujag22QXZqNyzyzAPV5mBPawjEA,8Z6bP2qkcQQ,"10 minutes, 22 seconds",3 months ago
304,Top 10 Goals from Our Leagues | WEEK 2 | beIN SPORTS USA,https://i.ytimg.com/vi/JRcIrcKOeWU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAg3QylYwnx2Ex3-AjTVB6EcI_HxA,JRcIrcKOeWU,"6 minutes, 56 seconds",3 months ago
305,Kasimpasa vs Fenerbahce | SÜPER LIG HIGHLIGHTS | 08/15/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/7BvHVUZHGKM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCigAHYYj5mK56Jwb6K04pmmcTr9g,7BvHVUZHGKM,"12 minutes, 46 seconds",3 months ago
306,Quevilly-Rouen vs Saint-Etienne | LIGUE 2 HIGHLIGHTS | 08/15/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/TJmTJnXRLkM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA3vkaqWv8J0aEXy0umamCSxhntpg,TJmTJnXRLkM,"8 minutes, 32 seconds",3 months ago
307,Mendoza Premier Padel | FINAL | Stupaczuk/Lima vs Belasteguin/Coello | 08/14/2022 |beIN SPORTS USA,https://i.ytimg.com/vi/DN6JITw6S2c/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDwLVT9NVp3MuEMcD6ZsHekMLWelw,DN6JITw6S2c,"14 minutes, 14 seconds",3 months ago
308,Alanyaspor vs Besiktas | SÜPER LIG HIGHLIGHTS | 08/14/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/oV8LH9CP_Ag/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAVnNCpjDANBTspvncdFLaHsj-yVA,oV8LH9CP_Ag,"11 minutes, 22 seconds",3 months ago
309,Brest vs Marseille | LIGUE 1 HIGHLIGHTS | 08/14/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/UxbdcHOJ61U/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLD7KnqxqiWzNHikxWSd2c2QtbJ4eQ,UxbdcHOJ61U,"8 minutes, 45 seconds",3 months ago
310,Reims vs Clermont Foot | LIGUE 1 HIGHLIGHTS | 08/14/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/2wZxl12QURA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBJFUch2dR1_5HNYfNRrxpnx5EmeA,2wZxl12QURA,"11 minutes, 21 seconds",3 months ago
